Id,Category
532,5
533,5
534,5
535,5
536,5
537,3
538,5
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,5
549,5
550,4
551,8
552,6
553,6
554,8
555,6
556,6
557,6
558,2
559,6
560,6
561,6
562,8
563,6
564,8
565,6
566,6
567,6
568,6
569,8
570,6
571,6
572,6
573,6
574,9
575,6
576,6
577,6
578,8
579,2
580,6
581,6
582,6
583,3
584,8
585,6
586,6
587,2
588,6
589,2
590,6
591,6
592,6
593,6
594,5
595,8
596,8
597,0
598,6
599,7
600,6
601,6
602,6
603,8
604,6
605,6
606,6
607,6
608,6
609,8
610,6
611,6
612,6
613,8
614,6
615,6
616,2
617,6
618,6
619,6
620,6
621,2
622,2
623,6
624,6
625,2
626,6
627,6
628,6
629,6
630,6
631,8
632,6
633,6
634,2
635,6
636,7
637,7
638,7
639,3
640,7
641,7
642,7
643,1
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,7
652,7
653,7
654,7
655,7
656,7
657,7
658,7
659,7
660,7
661,7
662,7
663,7
664,7
665,7
666,7
667,6
668,7
669,7
670,7
671,7
672,7
673,7
674,7
675,7
676,7
677,7
678,7
679,7
680,7
681,7
682,7
683,7
684,7
685,7
686,7
687,7
688,9
689,7
690,7
691,3
692,7
693,7
694,7
695,7
696,7
697,7
698,7
699,7
700,7
701,1
702,7
703,7
704,7
705,7
706,7
707,7
708,3
709,7
710,7
711,7
712,7
713,7
714,7
715,7
716,7
717,7
718,7
719,3
720,7
721,7
722,7
723,7
724,7
725,7
726,8
727,7
728,7
729,7
730,7
731,7
732,7
733,7
734,8
735,7
736,8
737,1
738,9
739,7
740,8
741,6
742,6
743,8
744,8
745,6
746,3
747,8
748,8
749,9
750,8
751,8
752,8
753,8
754,6
755,6
756,2
757,6
758,9
759,4
760,8
761,2
762,8
763,9
764,3
765,8
766,7
767,8
768,8
769,8
770,8
771,2
772,9
773,9
774,8
775,8
776,2
777,6
778,6
779,8
780,6
781,8
782,8
783,8
784,9
785,8
786,6
787,2
788,9
789,8
790,8
791,6
792,2
793,8
794,8
795,8
796,6
797,8
798,9
799,8
800,1
801,6
802,8
803,8
804,9
805,6
806,8
807,6
808,9
809,8
810,8
811,9
812,9
813,6
814,6
815,9
816,9
817,2
818,8
819,9
820,8
821,8
822,9
823,9
824,9
825,0
826,8
827,9
828,7
829,9
830,9
831,9
832,9
833,9
834,9
835,9
836,6
837,9
838,9
839,6
840,9
841,9
842,6
843,9
844,8
845,0
846,8
847,9
848,9
849,9
850,9
851,9
852,9
853,8
854,9
855,7
856,9
857,9
858,8
859,9
860,9
861,9
862,9
863,9
864,9
865,9
866,9
867,9
868,9
869,8
870,8
871,9
872,9
873,8
874,7
875,9
876,9
877,6
878,9
879,9
880,9
881,9
882,8
883,9
884,6
885,9
886,9
887,9
888,8
889,9
890,9
891,6
892,7
893,8
894,9
895,9
896,9
897,9
898,8
899,9
900,9
901,9
902,9
903,9
904,9
905,0
906,9
907,9
